demo,task,model,n_cues,flip,n_flip_pairs,flip_pairs,ratio_min,ratio_max,ratio_range,ref_majority,ref_pooled,pooled_lr,pooled_lo,pooled_hi,n_discordant_majority,n_discordant_pooled,n_hard_error_majority,n_hard_error_pooled
race,medical,gpt52,8,True,13,Dialect(1.077) vs Dialog (CAD)(0.998); Explicit(1.012) vs Dialog (CAD)(0.998); Name (Tzioumis)(1.004) vs Dialog (CAD)(0.998); Dialect(1.077) vs Dialog (PRISM)(0.993); Explicit(1.012) vs Dialog (PRISM)(0.993); Name (An)(1.001) vs Dialog (PRISM)(0.993); Name (Tzioumis)(1.004) vs Dialog (PRISM)(0.993); Dialect(1.077) vs Name (Hayes-Elder)(0.997); Dialect(1.077) vs Name (Rosenman)(1.000); Explicit(1.012) vs Name (Hayes-Elder)(0.997); Explicit(1.012) vs Name (Rosenman)(1.000); Name (An)(1.001) vs Name (Hayes-Elder)(0.997); Name (Tzioumis)(1.004) vs Name (Hayes-Elder)(0.997),0.993269962975606,1.0772919605077576,0.08402199753215156,Black,White,0.9990419048234848,0.9983483071633783,0.9997359843572124,5,5,3,3
race,medical,llama3.1,8,True,7,Dialog (CAD)(1.005) vs Dialect(0.983); Dialog (PRISM)(1.010) vs Dialect(0.983); Explicit(1.025) vs Dialect(0.983); Name (An)(1.002) vs Dialect(0.983); Name (Hayes-Elder)(1.001) vs Dialect(0.983); Name (Rosenman)(1.003) vs Dialect(0.983); Name (Tzioumis)(1.007) vs Dialect(0.983),0.9829609996213556,1.024850890933648,0.04188989131229237,Black,Black,1.0048698761866321,1.0044681715539394,1.0052717414681307,1,1,1,1
race,medical,olmo2,8,False,0,,1.0009264630190928,1.075084715534154,0.07415825251506125,Black,Black,1.0068906277080196,1.0065965446062035,1.007184796727944,0,0,0,0
race,legal,gpt52,7,True,8,Dialog (PRISM)(1.021) vs Dialog (CAD)(0.987); Name (Hayes-Elder)(1.010) vs Dialog (CAD)(0.987); Name (Rosenman)(1.022) vs Dialog (CAD)(0.987); Name (Tzioumis)(1.007) vs Dialog (CAD)(0.987); Dialog (PRISM)(1.021) vs Explicit(0.959); Name (Hayes-Elder)(1.010) vs Explicit(0.959); Name (Rosenman)(1.022) vs Explicit(0.959); Name (Tzioumis)(1.007) vs Explicit(0.959),0.9591229809318328,1.0238248551191242,0.06470187418729145,Black,Black,1.0088897759615485,1.006353607249115,1.0114323362163697,3,3,2,2
race,legal,llama3.1,8,True,7,Name (Tzioumis)(1.000) vs Dialog (CAD)(0.950); Name (Tzioumis)(1.000) vs Dialog (PRISM)(0.960); Name (Tzioumis)(1.000) vs Dialect(0.984); Name (Tzioumis)(1.000) vs Explicit(0.994); Name (Tzioumis)(1.000) vs Name (An)(0.996); Name (Tzioumis)(1.000) vs Name (Hayes-Elder)(0.997); Name (Tzioumis)(1.000) vs Name (Rosenman)(0.991),0.9500510444149428,1.0002624268833138,0.05021138246837098,White,White,0.9879656245217382,0.9874710224341212,0.9884604743444475,1,1,0,0
race,legal,olmo2,8,True,12,Dialect(1.035) vs Dialog (CAD)(0.995); Explicit(1.063) vs Dialog (CAD)(0.995); Dialect(1.035) vs Dialog (PRISM)(0.984); Explicit(1.063) vs Dialog (PRISM)(0.984); Dialect(1.035) vs Name (An)(0.999); Dialect(1.035) vs Name (Hayes-Elder)(0.998); Dialect(1.035) vs Name (Rosenman)(1.000); Dialect(1.035) vs Name (Tzioumis)(0.990); Explicit(1.063) vs Name (An)(0.999); Explicit(1.063) vs Name (Hayes-Elder)(0.998); Explicit(1.063) vs Name (Rosenman)(1.000); Explicit(1.063) vs Name (Tzioumis)(0.990),0.9840989297798476,1.0631671831955922,0.07906825341574464,Parity,White,0.9943513019904584,0.9936509990025715,0.9950520985362197,5,5,0,2
race,salary,gpt52,8,True,5,Dialog (PRISM)(1.004) vs Dialog (CAD)(0.999); Explicit(1.018) vs Dialog (CAD)(0.999); Name (An)(1.003) vs Dialog (CAD)(0.999); Name (Hayes-Elder)(1.003) vs Dialog (CAD)(0.999); Name (Tzioumis)(1.003) vs Dialog (CAD)(0.999),0.9994347807730004,1.0182050236956504,0.01877024292264995,Black,Black,1.0023706899450489,1.0018459722108122,1.0028956825006734,3,3,0,0
race,salary,llama3.1,8,True,4,Dialog (PRISM)(1.003) vs Dialect(0.994); Explicit(1.015) vs Dialect(0.994); Name (An)(1.005) vs Dialect(0.994); Name (Tzioumis)(1.004) vs Dialect(0.994),0.9941813662864282,1.0151986402440136,0.02101727395758546,Black,Black,1.0032682885172366,1.0029330769853393,1.0036036120872884,1,1,0,0
race,salary,olmo2,8,True,16,Explicit(1.006) vs Dialog (CAD)(0.998); Name (An)(1.001) vs Dialog (CAD)(0.998); Name (Rosenman)(1.001) vs Dialog (CAD)(0.998); Name (Tzioumis)(1.001) vs Dialog (CAD)(0.998); Explicit(1.006) vs Dialog (PRISM)(0.998); Name (An)(1.001) vs Dialog (PRISM)(0.998); Name (Rosenman)(1.001) vs Dialog (PRISM)(0.998); Name (Tzioumis)(1.001) vs Dialog (PRISM)(0.998); Explicit(1.006) vs Dialect(0.920); Name (An)(1.001) vs Dialect(0.920); Name (Rosenman)(1.001) vs Dialect(0.920); Name (Tzioumis)(1.001) vs Dialect(0.920); Explicit(1.006) vs Name (Hayes-Elder)(0.995); Name (An)(1.001) vs Name (Hayes-Elder)(0.995); Name (Rosenman)(1.001) vs Name (Hayes-Elder)(0.995); Name (Tzioumis)(1.001) vs Name (Hayes-Elder)(0.995),0.919772387256524,1.0057258578140105,0.08595347055748648,Black,White,0.9992989661214499,0.9989799642897428,0.9996180698192326,4,4,4,4
gender,medical,gpt52,7,True,6,Dialog (CAD)(1.001) vs Dialog (PRISM)(0.995); Dialog (CAD)(1.001) vs Explicit(0.985); Dialog (CAD)(1.001) vs Name (An)(0.993); Dialog (CAD)(1.001) vs Name (Hayes-Elder)(0.986); Dialog (CAD)(1.001) vs Name (Rosenman)(0.989); Dialog (CAD)(1.001) vs Name (Tzioumis)(0.989),0.9848990852330476,1.0005204327539352,0.015621347520887618,Male,Male,0.992588928622113,0.9919072052781662,0.9932711205045633,1,1,0,0
gender,medical,llama3.1,7,True,10,Dialog (CAD)(1.006) vs Explicit(0.988); Dialog (CAD)(1.006) vs Name (An)(0.983); Dialog (CAD)(1.006) vs Name (Hayes-Elder)(0.977); Dialog (CAD)(1.006) vs Name (Rosenman)(0.980); Dialog (CAD)(1.006) vs Name (Tzioumis)(0.979); Dialog (PRISM)(1.007) vs Explicit(0.988); Dialog (PRISM)(1.007) vs Name (An)(0.983); Dialog (PRISM)(1.007) vs Name (Hayes-Elder)(0.977); Dialog (PRISM)(1.007) vs Name (Rosenman)(0.980); Dialog (PRISM)(1.007) vs Name (Tzioumis)(0.979),0.9774433441453828,1.006755574822792,0.02931223067740929,Male,Male,0.9854883419167066,0.985071609661821,0.9859052504692041,2,2,2,2
gender,medical,olmo2,7,True,10,Dialog (CAD)(1.004) vs Dialog (PRISM)(0.998); Dialog (CAD)(1.004) vs Name (An)(0.996); Dialog (CAD)(1.004) vs Name (Hayes-Elder)(0.995); Dialog (CAD)(1.004) vs Name (Rosenman)(0.994); Dialog (CAD)(1.004) vs Name (Tzioumis)(0.997); Explicit(1.007) vs Dialog (PRISM)(0.998); Explicit(1.007) vs Name (An)(0.996); Explicit(1.007) vs Name (Hayes-Elder)(0.995); Explicit(1.007) vs Name (Rosenman)(0.994); Explicit(1.007) vs Name (Tzioumis)(0.997),0.9943240556824988,1.007305892464903,0.012981836782404166,Male,Male,0.9977380204870191,0.9974431906913749,0.9980329374300912,2,2,2,2
gender,legal,gpt52,6,True,5,Dialog (PRISM)(1.019) vs Dialog (CAD)(0.997); Dialog (PRISM)(1.019) vs Explicit(0.989); Dialog (PRISM)(1.019) vs Name (Hayes-Elder)(0.998); Dialog (PRISM)(1.019) vs Name (Rosenman)(0.997); Dialog (PRISM)(1.019) vs Name (Tzioumis)(0.999),0.9891725225871216,1.018565518641659,0.029392996054537268,Parity,Parity,1.0012771658541004,0.998710754621557,1.003850172055792,1,1,0,0
gender,legal,llama3.1,7,True,10,Dialog (CAD)(1.008) vs Explicit(0.994); Dialog (CAD)(1.008) vs Name (An)(0.997); Dialog (CAD)(1.008) vs Name (Hayes-Elder)(0.996); Dialog (CAD)(1.008) vs Name (Rosenman)(0.990); Dialog (CAD)(1.008) vs Name (Tzioumis)(0.994); Dialog (PRISM)(1.032) vs Explicit(0.994); Dialog (PRISM)(1.032) vs Name (An)(0.997); Dialog (PRISM)(1.032) vs Name (Hayes-Elder)(0.996); Dialog (PRISM)(1.032) vs Name (Rosenman)(0.990); Dialog (PRISM)(1.032) vs Name (Tzioumis)(0.994),0.9898327814695692,1.0315710520772865,0.04173827060771729,Male,Male,0.9992382055254703,0.9987391619991202,0.9997374984106625,2,2,2,2
gender,legal,olmo2,7,False,0,,1.002586876479682,1.0456511107107005,0.04306423423101857,Female,Female,1.010016027283892,1.009308999355475,1.0107235504902585,0,0,0,0
gender,salary,gpt52,7,True,10,Explicit(1.007) vs Dialog (CAD)(1.000); Name (An)(1.003) vs Dialog (CAD)(1.000); Name (Hayes-Elder)(1.004) vs Dialog (CAD)(1.000); Name (Rosenman)(1.002) vs Dialog (CAD)(1.000); Name (Tzioumis)(1.004) vs Dialog (CAD)(1.000); Explicit(1.007) vs Dialog (PRISM)(0.999); Name (An)(1.003) vs Dialog (PRISM)(0.999); Name (Hayes-Elder)(1.004) vs Dialog (PRISM)(0.999); Name (Rosenman)(1.002) vs Dialog (PRISM)(0.999); Name (Tzioumis)(1.004) vs Dialog (PRISM)(0.999),0.9991972441941692,1.0070080478451051,0.007810803650935894,Female,Female,1.002047566766593,1.0015175162418442,1.0025778978191948,2,2,0,0
gender,salary,llama3.1,7,True,6,Dialog (PRISM)(1.007) vs Dialog (CAD)(0.999); Dialog (PRISM)(1.007) vs Explicit(0.976); Dialog (PRISM)(1.007) vs Name (An)(0.993); Dialog (PRISM)(1.007) vs Name (Hayes-Elder)(0.992); Dialog (PRISM)(1.007) vs Name (Rosenman)(0.993); Dialog (PRISM)(1.007) vs Name (Tzioumis)(0.994),0.975588108474754,1.007109998248667,0.031521889773913125,Male,Male,0.995092622942106,0.9947551734315047,0.9954301869252682,2,2,1,1
gender,salary,olmo2,7,True,6,Dialog (PRISM)(1.004) vs Dialog (CAD)(1.000); Dialog (PRISM)(1.004) vs Explicit(0.976); Dialog (PRISM)(1.004) vs Name (An)(0.997); Dialog (PRISM)(1.004) vs Name (Hayes-Elder)(0.992); Dialog (PRISM)(1.004) vs Name (Rosenman)(0.993); Dialog (PRISM)(1.004) vs Name (Tzioumis)(0.996),0.9763837486256786,1.0042109605841067,0.02782721195842819,Male,Male,0.9958727508341919,0.9955607239986132,0.9961848754646552,2,2,1,1
