model,cue,csv_mean_pct,rounded,printed_tex,match
LLaMA-3.1,Explicit,99.387,99.4,99.4,True
LLaMA-3.1,AAVE,14.467,14.5,14.5,True
LLaMA-3.1,Rosenman,11.173,11.2,11.2,True
LLaMA-3.1,Elder--Hayes,4.703,4.7,4.7,True
LLaMA-3.1,Tzioumis,4.653,4.7,4.7,True
LLaMA-3.1,CAD,0.13,0.13,0.13,True
LLaMA-3.1,PRISM,1.737,1.7,1.7,True
OLMo-2,Explicit,65.097,65.1,65.1,True
OLMo-2,AAVE,0.0,0.0,0.0,True
OLMo-2,Rosenman,0.0,0.0,0.0,True
OLMo-2,Elder--Hayes,0.0,0.0,0.0,True
OLMo-2,Tzioumis,0.0,0.0,0.0,True
OLMo-2,CAD,0.0,0.0,0.0,True
OLMo-2,PRISM,0.0,0.0,0.0,True
GPT-5.2,Explicit,99.343,99.3,99.3,True
GPT-5.2,AAVE,9.713,9.7,9.7,True
GPT-5.2,Rosenman,35.6,35.6,35.6,True
GPT-5.2,Elder--Hayes,8.593,8.6,8.6,True
GPT-5.2,Tzioumis,11.873,11.9,11.9,True
GPT-5.2,CAD,0.2,0.2,0.2,True
GPT-5.2,PRISM,0.23,0.23,0.23,True
