variable,coef,std_err,t,p
race_pred_Unknown,38.9063385996057,179.75987698668,0.2164350535380518,0.828648653579045
race_pred_White,-666.017184561178,20.401987824394464,-32.64472022499825,1.0065809474827436e-233
type_token_ratio,3421.801649818661,65.58192081165403,52.175990081867205,0.0
flesch_kincaid_grade,-326.2490336667592,2.769654148792591,-117.79414184582754,0.0
avg_sentence_length,209.97329926937232,2.0391570387174043,102.97063702432747,0.0
prompt_vader,-240.67952677668208,9.546486592832775,-25.211319833348668,3.07011555094332e-140
id_cue_explicit,3147.5369486570366,96.84823210434602,32.49968409610021,1.1376907389979197e-231
id_cue_name,2046.6482020135368,93.81649718683104,21.815440390379692,1.6741660484065029e-105
id_cue_neutral,4086.5547587653914,95.24604787176716,42.90524226545602,0.0
id_cue_none,2105.427962253442,142.58543155248375,14.766080512779894,2.4297420195521352e-49
race_White,-150.6840711811312,13.253908928061401,-11.369028714396878,5.9697025688379046e-30
race_black,36.283713330969945,13.03753867356883,2.7830186540139192,0.005385590677355266
race_none,-1216.798417428982,54.34363905438218,-22.390815900483233,4.896473458690744e-111
race_white,-120.73927945392482,13.079313462282656,-9.231316292105511,2.6742325143337205e-20
