model,cue,tier,ratio
llama3.1,Name (R),Q1 (lowest),1.004653747121481
llama3.1,Name (R),Q2,1.004226152984996
llama3.1,Name (R),Q3,1.0012609624683246
llama3.1,Name (R),Q4 (highest),1.001392354464898
llama3.1,Name (EH),Q1 (lowest),1.002831786129257
llama3.1,Name (EH),Q2,1.0027708324091253
llama3.1,Name (EH),Q3,1.001813534170372
llama3.1,Name (EH),Q4 (highest),1.0009042534027872
llama3.1,Name (T),Q1 (lowest),1.0050732810073641
llama3.1,Name (T),Q2,1.0057411822927222
llama3.1,Name (T),Q3,1.002430014152775
llama3.1,Name (T),Q4 (highest),1.0041628399538411
llama3.1,Dialog (CAD),Q1 (lowest),1.0034895109083863
llama3.1,Dialog (CAD),Q2,1.0027871957484167
llama3.1,Dialog (CAD),Q3,1.0020837088153247
llama3.1,Dialog (CAD),Q4 (highest),1.000383560152593
llama3.1,Dialog (PRISM),Q1 (lowest),1.0021086458379131
llama3.1,Dialog (PRISM),Q2,0.9999415344226866
llama3.1,Dialog (PRISM),Q3,1.007248151963072
llama3.1,Dialog (PRISM),Q4 (highest),1.0046092680384162
llama3.1,Explicit,Q1 (lowest),1.0220858033486866
llama3.1,Explicit,Q2,1.0146039191970961
llama3.1,Explicit,Q3,1.0167865941934027
llama3.1,Explicit,Q4 (highest),1.0110960922382255
llama3.1,Dialect (AAVE),Q1 (lowest),0.9934525143386744
llama3.1,Dialect (AAVE),Q2,0.9867687001770774
llama3.1,Dialect (AAVE),Q3,0.9986786370203753
llama3.1,Dialect (AAVE),Q4 (highest),0.9955005750936213
olmo2,Name (R),Q1 (lowest),1.000942155196836
olmo2,Name (R),Q2,1.0028146532213364
olmo2,Name (R),Q3,1.0039672066306022
olmo2,Name (R),Q4 (highest),0.9986330123331719
olmo2,Name (EH),Q1 (lowest),0.9989530129663521
olmo2,Name (EH),Q2,0.998038642576131
olmo2,Name (EH),Q3,0.9961271667659247
olmo2,Name (EH),Q4 (highest),0.9909173022115948
olmo2,Name (T),Q1 (lowest),0.9995573446171987
olmo2,Name (T),Q2,1.0040076228620418
olmo2,Name (T),Q3,1.003299086293628
olmo2,Name (T),Q4 (highest),0.9974877896985527
olmo2,Dialog (CAD),Q1 (lowest),0.9989056793933343
olmo2,Dialog (CAD),Q2,0.9987717731725194
olmo2,Dialog (CAD),Q3,0.9985656273968017
olmo2,Dialog (CAD),Q4 (highest),0.9972728567822442
olmo2,Dialog (PRISM),Q1 (lowest),0.9965038061205669
olmo2,Dialog (PRISM),Q2,0.9989766519229181
olmo2,Dialog (PRISM),Q3,0.9936330205652433
olmo2,Dialog (PRISM),Q4 (highest),0.9997181208166206
olmo2,Explicit,Q1 (lowest),1.0010232988491334
olmo2,Explicit,Q2,0.9994801146089596
olmo2,Explicit,Q3,1.0115656452644592
olmo2,Explicit,Q4 (highest),1.0074770301021194
olmo2,Dialect (AAVE),Q1 (lowest),0.921264731179121
olmo2,Dialect (AAVE),Q2,0.9384480677757532
olmo2,Dialect (AAVE),Q3,0.8965133917285071
olmo2,Dialect (AAVE),Q4 (highest),0.9252602767621853
gpt52,Name (R),Q1 (lowest),1.0027851904785545
gpt52,Name (R),Q2,1.001158177389809
gpt52,Name (R),Q3,1.0012130319251018
gpt52,Name (R),Q4 (highest),0.9995348571150398
gpt52,Name (EH),Q1 (lowest),1.0031101405263203
gpt52,Name (EH),Q2,1.0029200818297133
gpt52,Name (EH),Q3,1.0031327711910156
gpt52,Name (EH),Q4 (highest),1.0022163912901718
gpt52,Name (T),Q1 (lowest),1.0036210429793402
gpt52,Name (T),Q2,1.0034198194021053
gpt52,Name (T),Q3,1.0016656580189527
gpt52,Name (T),Q4 (highest),1.0029716061851721
gpt52,Dialog (CAD),Q1 (lowest),0.9999665104747175
gpt52,Dialog (CAD),Q2,0.9998408948083889
gpt52,Dialog (CAD),Q3,0.9993814672338387
gpt52,Dialog (CAD),Q4 (highest),0.9989436074360662
gpt52,Dialog (PRISM),Q1 (lowest),1.004907798440182
gpt52,Dialog (PRISM),Q2,1.0039427092945612
gpt52,Dialog (PRISM),Q3,1.0035114252394812
gpt52,Dialog (PRISM),Q4 (highest),1.0032737296408814
gpt52,Explicit,Q1 (lowest),1.027440681853585
gpt52,Explicit,Q2,1.0187967163784724
gpt52,Explicit,Q3,1.0194916446507567
gpt52,Explicit,Q4 (highest),1.0122075645489776
gpt52,Dialect (AAVE),Q1 (lowest),1.0005424646953305
gpt52,Dialect (AAVE),Q2,1.0023594137346148
gpt52,Dialect (AAVE),Q3,0.9966396530076475
gpt52,Dialect (AAVE),Q4 (highest),1.0037917846840614
